POZO,FECHA PRUEBAS,mes,año,BBPD,BNPD,% AGUA,E_FLUJO,NU_COORD_UTM ESTE,NU_COORD_UTM NORTE,°API
LB 0001A,10-nov-09,11,2009,38,32,0.16,RR5,266968.20,1099135.40,12.1
LB 0001A,21-oct-10,10,2010,57,47,0.18,RR5,266968.20,1099135.40,12.1
LB 0001A,20-ene-11,1,2011,57,47,0.18,RR5,266968.20,1099135.40,12.1
LB 0001A,10-may-11,5,2011,44,37,0.16,RR5,266968.20,1099135.40,12.1
LB 0001A,21-jul-11,7,2011,43,36,0.16,RR5,266968.20,1099135.40,12.1
LB 0001A,8-dic-11,12,2011,35,29,0.17,RR5,266968.20,1099135.40,12.1
LB 0001A,23-feb-12,2,2012,35,29,0.17,RR5,266968.20,1099135.40,12.1
LB 0001A,22-may-12,5,2012,36,30,0.17,RR5,266968.20,1099135.40,12.1
LB 0001A,9-ago-12,8,2012,20,17,0.15,RR5,266968.20,1099135.40,12.1
LB 0001A,10-oct-12,10,2012,32,27,0.16,RR5,266968.20,1099135.40,12.1
LB 0001A,2-feb-13,2,2013,30,25,0.17,RR5,266968.20,1099135.40,12.1
LB 0001A,10-jul-13,7,2013,25,21,0.16,RR5,266968.20,1099135.40,12.1
LB 0001A,17-ago-13,8,2013,22,18,0.18,RR5,266968.20,1099135.40,12.1
LB 0001A,29-sep-13,9,2013,25,21,0.16,RR5,266968.20,1099135.40,12.1
LB 0001A,10-ene-14,1,2014,29,24,0.17,RR5,266968.20,1099135.40,12.1
LB 0001A,4-mar-14,3,2014,25,21,0.16,RR5,266968.20,1099135.40,12.1
LB 0003A,24-jun-10,6,2010,80,72,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,6-ago-10,8,2010,80,72,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,15-dic-10,12,2010,72,64,0.11,QQ7,268497.43,1101736.52,12.2
LB 0003A,28-ene-11,1,2011,76,68,0.11,QQ7,268497.43,1101736.52,12.2
LB 0003A,22-feb-11,2,2011,84,76,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,28-abr-11,4,2011,80,71,0.11,QQ7,268497.43,1101736.52,12.2
LB 0003A,24-jun-11,6,2011,78,70,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,8-jul-11,7,2011,77,69,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,9-nov-11,11,2011,89,80,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,7-dic-11,12,2011,79,71,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,5-feb-12,2,2012,70,63,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,3-abr-12,4,2012,87,78,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,12-ago-12,8,2012,70,62,0.11,QQ7,268497.43,1101736.52,12.2
LB 0003A,7-nov-12,11,2012,65,58,0.11,QQ7,268497.43,1101736.52,12.2
LB 0003A,12-jul-13,7,2013,84,76,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,30-oct-13,10,2013,70,63,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,11-dic-13,12,2013,69,62,0.1,QQ7,268497.43,1101736.52,12.2
LB 0003A,20-mar-14,3,2014,79,71,0.1,QQ7,268497.43,1101736.52,12.2
LB 0004A,27-ene-09,1,2009,43,41,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,1-mar-09,3,2009,46,44,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,5-abr-09,4,2009,41,40,0.02,PP8,269278.45,1102992.00,12.4
LB 0004A,12-jul-09,7,2009,57,55,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,15-sep-09,9,2009,49,47,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,19-feb-10,2,2010,37,36,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,6-mar-10,3,2010,37,36,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,10-abr-10,4,2010,42,40,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,12-ago-10,8,2010,47,45,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,18-sep-10,9,2010,46,44,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,21-oct-10,10,2010,50,48,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,1-nov-10,11,2010,39,38,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,7-dic-10,12,2010,34,33,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,12-ene-11,1,2011,33,32,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,28-feb-11,2,2011,46,44,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,11-mar-11,3,2011,47,45,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,4-abr-11,4,2011,43,41,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,9-may-11,5,2011,50,48,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,2-jun-11,6,2011,40,39,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,9-oct-11,10,2011,46,44,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,2-dic-11,12,2011,48,46,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,6-ene-12,1,2012,40,39,0.03,PP8,269278.45,1102992.00,12.4
LB 0004A,14-feb-12,2,2012,41,40,0.02,PP8,269278.45,1102992.00,12.4
LB 0004A,10-mar-12,3,2012,47,45,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,7-abr-12,4,2012,41,40,0.02,PP8,269278.45,1102992.00,12.4
LB 0004A,27-may-12,5,2012,43,41,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,6-jun-12,6,2012,49,47,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,4-jul-12,7,2012,50,48,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,9-ago-12,8,2012,42,40,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,27-sep-12,9,2012,53,51,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,12-oct-12,10,2012,47,45,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,8-may-13,5,2013,45,43,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,29-jun-13,6,2013,44,42,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,18-jul-13,7,2013,45,43,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,12-oct-13,10,2013,50,48,0.04,PP8,269278.45,1102992.00,12.4
LB 0004A,8-ene-14,1,2014,42,40,0.05,PP8,269278.45,1102992.00,12.4
LB 0004A,10-abr-14,4,2014,40,39,0.03,PP8,269278.45,1102992.00,12.4
LB 0006B,6-sep-09,9,2009,13,12,0.08,MM6,265720.96,1105111.29,13.2
LB 0006B,16-jul-10,7,2010,12,12,0,MM6,265720.96,1105111.29,13.2
LB 0006B,10-ago-10,8,2010,18,17,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,11-sep-10,9,2010,19,18,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,5-oct-10,10,2010,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,17-nov-10,11,2010,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,5-dic-10,12,2010,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,6-ene-11,1,2011,19,18,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,8-mar-11,3,2011,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,19-abr-11,4,2011,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,7-may-11,5,2011,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,13-jun-11,6,2011,15,15,0,MM6,265720.96,1105111.29,13.2
LB 0006B,7-ago-11,8,2011,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,4-feb-12,2,2012,17,16,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,10-mar-12,3,2012,16,15,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,5-abr-12,4,2012,16,15,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,25-ago-12,8,2012,18,17,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,15-sep-12,9,2012,17,16,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,9-oct-12,10,2012,14,13,0.07,MM6,265720.96,1105111.29,13.2
LB 0006B,14-nov-12,11,2012,12,12,0,MM6,265720.96,1105111.29,13.2
LB 0006B,6-dic-12,12,2012,13,12,0.08,MM6,265720.96,1105111.29,13.2
LB 0006B,10-ene-13,1,2013,13,12,0.08,MM6,265720.96,1105111.29,13.2
LB 0006B,16-feb-13,2,2013,8,8,0,MM6,265720.96,1105111.29,13.2
LB 0006B,17-mar-13,3,2013,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,19-abr-13,4,2013,20,19,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,6-may-13,5,2013,14,13,0.07,MM6,265720.96,1105111.29,13.2
LB 0006B,8-jun-13,6,2013,13,12,0.08,MM6,265720.96,1105111.29,13.2
LB 0006B,25-jul-13,7,2013,15,14,0.07,MM6,265720.96,1105111.29,13.2
LB 0006B,29-ago-13,8,2013,19,18,0.05,MM6,265720.96,1105111.29,13.2
LB 0006B,13-sep-13,9,2013,13,12,0.08,MM6,265720.96,1105111.29,13.2
LB 0006B,11-oct-13,10,2013,18,17,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,8-nov-13,11,2013,18,17,0.06,MM6,265720.96,1105111.29,13.2
LB 0006B,16-ene-14,1,2014,17,16,0.06,MM6,265720.96,1105111.29,13.2
LB 0007,14-feb-09,2,2009,33,31,0.06,OO6,266500.47,1102972.20,14.4
LB 0007,24-mar-09,3,2009,29,28,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,17-abr-09,4,2009,31,30,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,27-may-09,5,2009,31,30,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,20-jun-09,6,2009,35,34,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,22-jul-09,7,2009,32,31,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,26-ago-09,8,2009,31,30,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,4-sep-09,9,2009,31,30,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,3-oct-09,10,2009,29,28,0.03,OO6,266500.47,1102972.20,14.4
LB 0007,20-nov-09,11,2009,28,27,0.04,OO6,266500.47,1102972.20,14.4
LB 0007,24-sep-10,9,2010,33,31,0.06,OO6,266500.47,1102972.20,14.4
LB 0007,23-oct-10,10,2010,39,36,0.08,OO6,266500.47,1102972.20,14.4
LB 0007,26-nov-10,11,2010,31,29,0.06,OO6,266500.47,1102972.20,14.4
LB 0007,14-dic-10,12,2010,25,23,0.08,OO6,266500.47,1102972.20,14.4
LB 0007,22-ene-11,1,2011,27,25,0.07,OO6,266500.47,1102972.20,14.4
LB 0007,21-feb-11,2,2011,24,22,0.08,OO6,266500.47,1102972.20,14.4
LB 0007,5-mar-11,3,2011,31,28,0.1,OO6,266500.47,1102972.20,14.4
LB 0007,4-oct-11,10,2011,34,31,0.09,OO6,266500.47,1102972.20,14.4
LB 0007,2-nov-11,11,2011,31,28,0.1,OO6,266500.47,1102972.20,14.4
LB 0007,2-dic-11,12,2011,27,25,0.07,OO6,266500.47,1102972.20,14.4
LB 0007,10-ene-12,1,2012,31,28,0.1,OO6,266500.47,1102972.20,14.4
LB 0007,8-feb-12,2,2012,29,26,0.1,OO6,266500.47,1102972.20,14.4
LB 0007,20-sep-12,9,2012,43,39,0.09,OO6,266500.47,1102972.20,14.4
LB 0007,12-oct-12,10,2012,43,39,0.09,OO6,266500.47,1102972.20,14.4
LB 0007,19-nov-12,11,2012,39,36,0.08,OO6,266500.47,1102972.20,14.4
LB 0007,4-dic-12,12,2012,13,12,0.08,OO6,266500.47,1102972.20,14.4
LB 0007,7-mar-13,3,2013,16,15,0.06,OO6,266500.47,1102972.20,14.4
LB 0007,28-abr-13,4,2013,14,13,0.07,OO6,266500.47,1102972.20,14.4
LB 0007,28-may-13,5,2013,15,14,0.07,OO6,266500.47,1102972.20,14.4
LB 0007,18-jul-13,7,2013,18,16,0.11,OO6,266500.47,1102972.20,14.4
LB 0007,2-ago-13,8,2013,15,14,0.07,OO6,266500.47,1102972.20,14.4
LB 0007,24-sep-13,9,2013,17,15,0.12,OO6,266500.47,1102972.20,14.4
LB 0007,11-nov-13,11,2013,17,15,0.12,OO6,266500.47,1102972.20,14.4
LB 0007,11-ene-14,1,2014,14,13,0.07,OO6,266500.47,1102972.20,14.4
LB 0007,31-mar-14,3,2014,16,15,0.06,OO6,266500.47,1102972.20,14.4
LB 0007,16-abr-14,4,2014,13,12,0.08,OO6,266500.47,1102972.20,14.4
LB 0009,3-feb-09,2,2009,19,18,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,5-mar-09,3,2009,22,21,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,6-abr-09,4,2009,19,18,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,17-may-09,5,2009,20,19,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,7-jul-09,7,2009,23,22,0.04,NN6,266114.33,1103681.92,12.2
LB 0009,29-ago-09,8,2009,21,20,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,3-sep-09,9,2009,19,18,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,10-oct-09,10,2009,18,17,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,23-jun-10,6,2010,29,28,0.03,NN6,266114.33,1103681.92,12.2
LB 0009,31-jul-10,7,2010,19,18,0.05,NN6,266114.33,1103681.92,12.2
LB 0009,13-ago-10,8,2010,18,17,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,3-sep-10,9,2010,18,17,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,28-dic-10,12,2010,14,14,0,NN6,266114.33,1103681.92,12.2
LB 0009,18-ene-11,1,2011,17,17,0,NN6,266114.33,1103681.92,12.2
LB 0009,22-feb-11,2,2011,17,17,0,NN6,266114.33,1103681.92,12.2
LB 0009,22-mar-11,3,2011,18,17,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,10-may-11,5,2011,17,17,0,NN6,266114.33,1103681.92,12.2
LB 0009,7-jun-11,6,2011,26,25,0.04,NN6,266114.33,1103681.92,12.2
LB 0009,13-ago-11,8,2011,16,15,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,21-oct-11,10,2011,15,14,0.07,NN6,266114.33,1103681.92,12.2
LB 0009,4-dic-11,12,2011,16,15,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,17-ene-12,1,2012,18,17,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,2-feb-12,2,2012,18,17,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,4-mar-12,3,2012,14,13,0.07,NN6,266114.33,1103681.92,12.2
LB 0009,18-abr-12,4,2012,17,16,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,2-jun-12,6,2012,15,14,0.07,NN6,266114.33,1103681.92,12.2
LB 0009,19-jul-12,7,2012,15,14,0.07,NN6,266114.33,1103681.92,12.2
LB 0009,20-nov-12,11,2012,15,14,0.07,NN6,266114.33,1103681.92,12.2
LB 0009,11-dic-12,12,2012,14,13,0.07,NN6,266114.33,1103681.92,12.2
LB 0009,7-ene-13,1,2013,16,15,0.06,NN6,266114.33,1103681.92,12.2
LB 0009,6-feb-13,2,2013,11,10,0.09,NN6,266114.33,1103681.92,12.2
LB 0009,3-mar-13,3,2013,11,10,0.09,NN6,266114.33,1103681.92,12.2
LB 0009,19-jun-13,6,2013,14,12,0.14,NN6,266114.33,1103681.92,12.2
LB 0009,28-jul-13,7,2013,13,12,0.08,NN6,266114.33,1103681.92,12.2
LB 0009,2-ago-13,8,2013,12,11,0.08,NN6,266114.33,1103681.92,12.2
LB 0009,15-sep-13,9,2013,10,9,0.1,NN6,266114.33,1103681.92,12.2
LB 0009,6-ene-14,1,2014,12,11,0.08,NN6,266114.33,1103681.92,12.2
LB 0009,2-mar-14,3,2014,10,9,0.1,NN6,266114.33,1103681.92,12.2
LB 0009,11-abr-14,4,2014,10,9,0.1,NN6,266114.33,1103681.92,12.2
LB 0010,24-ene-09,1,2009,20,18,0.1,OO6,266700.05,1102628.80,15
LB 0010,25-mar-09,3,2009,19,17,0.11,OO6,266700.05,1102628.80,15
LB 0010,7-abr-09,4,2009,18,16,0.11,OO6,266700.05,1102628.80,15
LB 0010,13-may-09,5,2009,19,17,0.11,OO6,266700.05,1102628.80,15
LB 0010,22-jul-09,7,2009,23,22,0.04,OO6,266700.05,1102628.80,15
LB 0010,27-ago-09,8,2009,16,16,0,OO6,266700.05,1102628.80,15
LB 0010,24-sep-09,9,2009,17,17,0,OO6,266700.05,1102628.80,15
LB 0010,23-nov-09,11,2009,18,17,0.06,OO6,266700.05,1102628.80,15
LB 0010,12-ago-10,8,2010,14,14,0,OO6,266700.05,1102628.80,15
LB 0010,15-sep-10,9,2010,14,13,0.07,OO6,266700.05,1102628.80,15
LB 0010,11-oct-11,10,2011,21,20,0.05,OO6,266700.05,1102628.80,15
LB 0010,22-nov-11,11,2011,22,20,0.09,OO6,266700.05,1102628.80,15
LB 0010,3-dic-11,12,2011,22,20,0.09,OO6,266700.05,1102628.80,15
