POZO,FECHA PRUEBAS,mes,año,BBPD,BNPD,% AGUA,E_FLUJO,NU_COORD_UTM_ESTE,NU_COORD_UTM_NORTE,°API
LS 0004A,11-mar-09,3,2009,17,12,0.29,U3,252384.33,1120554.11,11.4
LS 0004A,20-abr-09,4,2009,19,13,0.32,U3,252384.33,1120554.11,11.4
LS 0004A,23-may-09,5,2009,21,15,0.29,U3,252384.33,1120554.11,11.4
LS 0004A,16-jul-09,7,2009,20,14,0.3,U3,252384.33,1120554.11,11.4
LS 0004A,7-ago-09,8,2009,21,15,0.29,U3,252384.33,1120554.11,11.4
LS 0004A,7-sep-09,9,2009,14,10,0.29,U3,252384.33,1120554.11,11.4
LS 0004A,10-oct-09,10,2009,20,14,0.3,U3,252384.33,1120554.11,11.4
LS 0004A,12-nov-09,11,2009,15,11,0.27,U3,252384.33,1120554.11,11.4
LS 0004A,4-jun-12,6,2012,16,11,0.31,U3,252384.33,1120554.11,11.4
LS 0004A,17-mar-13,3,2013,26,18,0.31,U3,252384.33,1120554.11,11.4
LS 0004A,14-may-13,5,2013,4,3,0.25,U3,252384.33,1120554.11,11.4
LS 0004A,19-jul-13,7,2013,204,143,0.3,U3,252384.33,1120554.11,11.4
LS 0004A,8-sep-13,9,2013,142,99,0.3,U3,252384.33,1120554.11,11.4
LS 0004A,8-abr-14,4,2014,219,153,0.3,U3,252384.33,1120554.11,11.4
LS 0018,16-ene-09,1,2009,161,121,0.25,V3,252905.39,1119356.76,10
LS 0018,2-feb-09,2,2009,170,128,0.25,V3,252905.39,1119356.76,10
LS 0018,6-mar-09,3,2009,154,116,0.25,V3,252905.39,1119356.76,10
LS 0018,9-abr-09,4,2009,158,119,0.25,V3,252905.39,1119356.76,10
LS 0018,2-may-09,5,2009,153,115,0.25,V3,252905.39,1119356.76,10
LS 0018,19-jun-09,6,2009,150,113,0.25,V3,252905.39,1119356.76,10
LS 0018,1-jul-09,7,2009,153,115,0.25,V3,252905.39,1119356.76,10
LS 0018,2-ago-09,8,2009,155,116,0.25,V3,252905.39,1119356.76,10
LS 0018,3-oct-09,10,2009,175,131,0.25,V3,252905.39,1119356.76,10
LS 0018,24-nov-09,11,2009,177,133,0.25,V3,252905.39,1119356.76,10
LS 0018,10-ene-10,1,2010,168,126,0.25,V3,252905.39,1119356.76,10
LS 0018,25-feb-10,2,2010,155,126,0.19,V3,252905.39,1119356.76,10
LS 0018,28-mar-10,3,2010,144,117,0.19,V3,252905.39,1119356.76,10
LS 0018,8-abr-10,4,2010,127,103,0.19,V3,252905.39,1119356.76,10
LS 0018,20-may-10,5,2010,165,134,0.19,V3,252905.39,1119356.76,10
LS 0018,15-jun-10,6,2010,167,135,0.19,V3,252905.39,1119356.76,10
LS 0018,3-jul-10,7,2010,175,142,0.19,V3,252905.39,1119356.76,10
LS 0018,3-ago-10,8,2010,166,134,0.19,V3,252905.39,1119356.76,10
LS 0018,3-sep-10,9,2010,169,134,0.21,V3,252905.39,1119356.76,10
LS 0018,4-oct-10,10,2010,172,136,0.21,V3,252905.39,1119356.76,10
LS 0018,2-nov-10,11,2010,171,135,0.21,V3,252905.39,1119356.76,10
LS 0018,22-dic-10,12,2010,165,130,0.21,V3,252905.39,1119356.76,10
LS 0018,3-ene-11,1,2011,181,143,0.21,V3,252905.39,1119356.76,10
